,text,ad hominem,anecdotal fallacy,appeal to authority,appeal to consequences,appeal to emotion,appeal to fear,appeal to novelty,appeal to popularity,appeal to ridicule,appeal to tradition,argument from ignorance,bandwagon fallacy,circular reasoning,correlation vs. causation,equivocation,false analogy,false attribution,false dilemma,genetic fallacy,guilt by association,hasty generalization,no true scotsman,red herring,slippery slope,straw man,tu quoque,appeal to motive,loaded question,misleading vividness,none,composition/division,other
2484,Its estimated we leave somewhere north of $350 billion a year - thats billion - a year on the table uncollected because IRS doesnt have the resources.,0.0,0,1.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2485,Repeating the same thing as if you’re proving something,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2486,Says fewer than 30 percent of Texas college students graduate in four years and only 58 percent graduate within six years.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2487,Says Proposition 205 blocks market entry for new marijuana dispensaries.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2488,Proposed NClaw for body camera footage gives police broad authority to keep video footage secret even from individuals who are filmed.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2489,"I've only read a couple pages of this book, and I've already found a typo. There's no way I'm reading the rest of this garbage.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2490,The reason our company never makes any money is because we have a buffoon running it!,1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2491,Amendment 2 will bring kid-friendly pot candy to Florida.,0.0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0.0
2492,The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.,0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2493,"It has been estimated that nearly 40 percent of all guns sold in America are sold by private, unlicensed sellers either online or through gun shows.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2494,"Says Obamas net neutrality proposalputs the government in charge of determining Internet pricing, terms of service and what types of products and services can be delivered.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1,1,0.0,0,0.0,0,0,0.0,0.0
2495,"So far, the Recovery Act is responsible for the jobs of about 2 million Americans who would otherwise be unemployed. ... [And] the Recovery Act is on track to save or create another 1.5 million jobs in 2010.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2496,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2497,The FCCs net neutrality policy includes whatis essentially a massive tax increase.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2498,"In the mid 1990s, in our state, (Florida was) No. 1 in violent crime in America. ... The only concern I had was for the citizens of Florida, who were subjected to a violent crime every three minutes and 45 seconds.",0.0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2499,"Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.",0.0,0,1.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2500,Weve got more revenue than we ever have.,0.0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2501,"Says Rick Scotts proposed budget would lay off 20,000 teachers.",0.0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0.0
2502,There are 500 registered Republicans moving to Texas every day.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2503,"Just two weeks ago, Congressman Hurd quit his post on the House Committee on Small Business saying that he was unable to find the time to serve.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2504,"In Oregon, women earn an average of 79 cents for every dollar that men earn for doing the same job. Thats just wrong.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2505,"TOPIC: Should people let their cats go outside? DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise."" ""What do you know? You've never even had a pet cat before!""",1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2506,On running for Senate if Jim Webb retires.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2507,"Our spending has caught up with us, and our debt soon will eclipse the entire size of our national economy.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2508,"Because 90% of college students polled had no debt, education costs are not a problem.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0
2509,"Amendment 2 will put almost 2,000 pot shops in Florida ... more pot shops than Walmart and Walgreens combined.",0.0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2510,"Currently, the intelligence community can collect business records on law-abiding Americans who have no connection to terrorism.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2511,We import more oil today than ever before.,0.0,0,0.0,0,0,0,0.0,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2512,Says a Pro-Stimulus economist admits it is not working,0.0,0,1.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2513,McDonald's Hamburgers: over 99 billion served.,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2514,Says Rick Perry proposed a binational health insurance program with Mexico.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2515,What’s the point of making drinking illegal under the age of 21?  Kids still manage to get alcohol.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0
2516,There are more than twice as many (crisis pregnancy centers) as there are legitimate abortion providers in the United States.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2517,Passing a federal firearms background check through the NICS database . . . typically takes 90 seconds.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2518,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2519,On whether humans contribute to global warming,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2520,The Public Employee Retirement System is making more millionaires than the Oregon state lottery.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2521,"Says the 1956 Republican Party platform supported equal pay, the minimum wage, asylum for refugees, protections for unions and more.",0.0,0,0.0,0,0,0,0.0,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2522,It is a fact that the economy does better when we have a Democrat in the White House.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2523,Says unsuccessful Texas abortion legislation was supported by a majority of Texans.,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2524,"Says female genital mutilation is a central African problem, not an Islamic problem, as Bill Maher suggested.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2525,"Says Travis County Sheriff Greg Hamilton has accepted $42,000 from strip-club interests and $10,000 from local alcohol distributors.",1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2526,"Over 214,000 doctors opt out of Obamacare exchanges.",0.0,0,1.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2527,Businesses will be required to certify to the IRS under penalty of perjury that Obamacare was not a motivating factor for cutting staff.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,1.0,0,0,0.0,0.0
2528,"If the Sellwood Bridge is not replaced, it will have to be shut down within eight years.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2529,"Says Vladimir Putin said, President Obama and his fellow Democrats are either idiots or deliberately trying to destroy their own economy.",1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2530,"Some 20,000 Delphi salaried retirees lost up to 70 percent of their pensions as a result of political favoritism and backroom deals.",0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2531,The news is fake because so much of the news is fake.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2532,New Jersey is the only state in the union that spent less on higher education than it did at the beginning of the decade.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2533,"""Once a year, a miracle causes this large rock to float about ten centimeters off the ground since supernatural powers want us to remember the martyrs who died in that spot.""",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2534,The Obama administration has spent millions of taxpayer dollars for roadside signs to tout the economic stimulus.,0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2535,Why should we worry about the negative depiction of women in music videos when thousands of women are dying of AIDS each year?,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0
2536,"Since Barack Obama became president of the United States, 95 percent of economic gains have been made by the richest 1 percent.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2537,The leader of ISIS was imprisoned by American troops and ordered released to Iraq by Obama administration in 2009.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2538,We are number one in the world when it comes to energy resources. ... The Russians are second; Saudi Arabia is number three.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2539,Says our unemployment insurance trust fund is broke. Were over a billion dollars in debt to the federal government.,0.0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2540,Says Donald Trump never said that more nations should get nuclear weapons.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2541,Californians consume 40 percent less energy per person than the national average,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2542,The biggest job of the surgeon general is to translate health care and health care needs into plain English.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2543,We have doubled the distance our cars will go on a gallon of gas.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2544,Members of Congress can retire with the same pay after only one term in office,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2545,"Shows in a television ad that police took evidence fromSolantic, Rick Scotts new health care company, after allegations emerged that the company was engaging in fraud.",0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2546,Says Texas lawmakers in 2011 ordered school districts to test every student on their respiratory system and weight.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2547,"I signed the largest single tax cut in the history of Florida, a $25 billion tax cut over five years, directed at property tax cuts.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,1,0,0.0,0.0
2548,"Of every three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2549,"Under the Arizona immigration law, police are required to check immigration status if someone's ""lawn is overgrown"" or if a dog is ""barking too loudly.""",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
2550,"We have a guy who is going to be speaker of the House in four years, and his name has been on the ballot one time.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2551,Says over 90 percent of Travis Countys eligible residents have registered to vote.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2552,Says Obama broke his promise to offer a comprehensive immigration bill in his first year.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2553,We think this new MallTime game app will be a success because all little girls like shopping.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2554,"The Hispanic population in Gwinnett and Henry counties has increased by 153 percent and 339 percent, respectively, since 2000 while Republican presidential candidates are getting a smaller percentage of the vote in those counties.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2555,"Common welfare programs give income of $43,330 or $20.83 an hour.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0
2556,"All Jim Carrey movies are hilarious. No horror movies are Jim Carrey movies. Therefore, no horror movies are hilarious.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0
2557,Weve had the private sector more than double the investment that was made by the public sector at Quonset Business Park.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2558,"Lets say (Republicans) take away half of our delegates. Theyre worth more than Iowas, New Hampshires and almost South Carolinas combined.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2559,Morgan Griffith fought for a plan that would have taken money away from our schools and given it to Northern Virginia schools instead.,0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
2560,Atlanta Public Schools 2011 CRCT tests were given under the strictest security possible.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2561,"This technique uses the logic: Everyone else is doing it, you should too!",0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2562,"In 1992, Mitt Romney gave money to Democrats for Congress.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2563,"After years of ignoring God, people have a hard time realizing what is right and what is wrong, what is good and what is bad.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2564,25 percent of our economy is the financial sector.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2565,Congressman Perriello voted in lock step with Nancy Pelosi 90 percent of the time.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2566,There's no point listening to you. Everybody knows you're just a little do-gooder.,1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2567,There have been at least four incidents where bullets from Mexico have crossed the border.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2568,"My political candidate gives 10% of his income to the needy, goes to church every Sunday, and volunteers one day a week at a homeless shelter.  Therefore, he is honest and morally straight.",0.0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2569,"Ninety-four percent of the bills that pass the Senate have no debate, no vote, no amendments, no reading of the bill, no online disclosure.",0.0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2570,"These steps (a middle-class tax cut, national health care plan, foreclosure prevention fund, Social Security fix and more) are all paid for.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2571,Says carbon monoxide is still employed to euthanize dogs and cats in 29 Texas animal shelters.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2572,"Due to ... tax cuts and lower (property) values, 2009 property taxes were almost $3 billion below 2007 property taxes.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2573,"I have given $30,000 of my unused travel expenses over the years to supplement the school systems general budget.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2574,"[When I was mayor] Providence was one of the five renaissance cities of America, according to USA Today in those days. Money magazine said it was the fifth best city to live in in America. In addition to that, All Cities Almanac said in 1994, I believe, that it was the safest city in America.",0.0,0,1.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2575,"Fireworks have never been safer, and their use continues to increase each year.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2576,On support for U.S. Rep. Paul Ryans Medicare reform plan,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2577,"Charlie Crist stopped layoffs of some 20,000 school teachers during the global economic meltdown.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2578,"Dr. Fauci says we need to wear masks, but Dr. Fauci is the oldest, meanest doctor around. I’m sure what he says isn’t true at all.",1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2579,"According to crime statistics, riding MARTA has been becoming more and more safe over the years.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2580,"(Sen. Robert) Gordon cost us money, exempting the Newark sports arena from paying property taxes and sticking us with the bill.",1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2581,"Ive been a cop in Lake County, Michigan, since 1982 thereabout. I conduct federal raids with the DEA and ATF and U.S. Marshals and the FBI and Texas Rangers.",0.0,0,1.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2582,Gwinnett County government has made significant cutbacks in staffing.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2583,The Health Care and Education Reconciliation Act is the largest-ever investment in higher education.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2584,We now have our kids go to school about a month less than most other advanced countries.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2585,"SaysPresident Obama is using executive actions to impose gun control on the nation, targeting the top-selling rifle in the country ... with a ban on one of the most-used assault rifle bullets.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1,1,0.0,0,0.0,0,0,0.0,0.0
2586,We currently have one guy who is in charge of painting the entire Milwaukee County parks system.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2587,Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0.0
2588,I didnt inherit money from my parents.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0.0
2589,You look at defense were spending more than the rest of the world combined.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2590,"1928 was last time Republicans had the White House, the House and the Senate.",0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2591,"Says lawyer appointed by Eric Holder to investigate government leaks helped and donated to Obamas campaign, vetting vice presidential prospects.",1.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
2592,President Obama has spent over $2 million in legal fees defending lawsuits about his birth certificate.,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0
